sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
T20210,Haemaphysalis leporispalustris,456,386,70,0.15350877192982457,Haemaphysalis longicornis,45,0.22722870641223622,0.5138654438675546,0.4897959183673469,0.18085106382978725,0.043478260869565216,0.011627906976744186,0.0,0.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T20210-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T20210-02.jpg
376-01,Amblyomma americanum,528,447,81,0.1534090909090909,Haemaphysalis longicornis,41,0.2710501217783398,0.5202574138960323,0.41,0.24489795918367346,0.16129032258064516,0.010869565217391304,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/376-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/376-01-02.jpg
T19738,Amblyomma americanum,528,447,81,0.1534090909090909,Haemaphysalis leporispalustris,59,0.27294514193430314,0.5828063580443881,0.494949494949495,0.21649484536082475,0.10526315789473684,0.010526315789473684,0.0,0.0,Male,Adult,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19738-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19738-02.jpg
ZOE-0014-06,Ixodes scapularis,558,473,85,0.15232974910394265,Haemaphysalis longicornis,43,0.2544402326366658,0.49297285910481015,0.47,0.24,0.11578947368421053,0.03125,0.0,0.0,Female,Adult,Yes,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0014-06-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/ZOE-0014-06-02.jpg
T19577,Haemaphysalis leporispalustris,440,373,67,0.15227272727272728,Haemaphysalis longicornis,38,0.2685290831686129,0.4763768817417449,0.3157894736842105,0.22105263157894736,0.15555555555555556,0.023809523809523808,0.0,0.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19577-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19577-02.jpg
T6727,Haemaphysalis leporispalustris,462,392,70,0.15151515151515152,Amblyomma americanum,38,0.27642316384269644,0.4977003613551001,0.37755102040816324,0.20202020202020202,0.14285714285714285,0.0,0.0,0.0,,Larva,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T6727-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T6727-02.jpg
553-01,Ixodes scapularis,548,465,83,0.15145985401459855,Amblyomma americanum,56,0.2772566326253088,0.45898052390357175,0.33,0.25773195876288657,0.18947368421052632,0.07526881720430108,0.0,0.0,,Larva,"Yes, less than 24 hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/553-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/553-01-02.jpg
43-04,Dermacentor variabilis,569,483,86,0.15114235500878734,Amblyomma americanum,34,0.30360418942902817,0.49713548334746976,0.24242424242424243,0.20408163265306123,0.29591836734693877,0.11578947368421053,0.022727272727272728,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/43-04-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/43-04-2.jpg
42-01,Amblyomma americanum,530,450,80,0.1509433962264151,Haemaphysalis longicornis,47,0.23673887674171057,0.5431742161853444,0.6060606060606061,0.15,0.052083333333333336,0.0,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/42-01-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/42-01-2.jpg
T19572,Haemaphysalis leporispalustris,453,385,68,0.15011037527593818,Haemaphysalis longicornis,34,0.22804961714472474,0.5356829513318435,0.47,0.16666666666666666,0.04395604395604396,0.0125,0.0,0.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19572-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T19572-02.jpg
