sample_id,species_true,n_rows,n_correct,n_incorrect,incorrect_rate,most_common_wrong_pred,n_incorrect_to_most_common,mean_conf_to_most_common,mean_conf_overall,err_by_shot_1,err_by_shot_3,err_by_shot_5,err_by_shot_10,err_by_shot_25,err_by_shot_35,sex,life_stage,attached,dorsal_image_path,ventral_image_path
585-01,Ixodes scapularis,554,492,62,0.11191335740072202,Dermacentor variabilis,43,0.23860935930374008,0.5039137433754526,0.41,0.18181818181818182,0.030927835051546393,0.0,0.0,0.0,Female,Adult,"Yes, less than 24 hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/585-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/585-01-02.jpg
297-01,Ixodes scapularis,564,501,63,0.11170212765957446,Amblyomma americanum,45,0.2820436686480511,0.49536578078869165,0.21212121212121213,0.21052631578947367,0.1958762886597938,0.03,0.0,0.0,,Nymph,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/297-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/297-01-02.jpg
456-01,Ixodes scapularis,565,502,63,0.11150442477876106,Amblyomma americanum,37,0.25842373390306106,0.5284300794671599,0.35714285714285715,0.18181818181818182,0.09090909090909091,0.010416666666666666,0.0,0.0,,Nymph,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/456-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/456-01-02.jpg
633-01,Ixodes scapularis,565,502,63,0.11150442477876106,Dermacentor variabilis,27,0.2310583294130749,0.47439310400123935,0.37,0.16494845360824742,0.1,0.0,0.0,0.0,Female,Adult,"Yes, unknown length of time",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/633-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/633-01-02.jpg
138-01,Dermacentor variabilis,574,510,64,0.11149825783972125,Amblyomma americanum,31,0.267902432381889,0.4709556408599259,0.4,0.13131313131313133,0.05154639175257732,0.05102040816326531,0.01098901098901099,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/138-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/138-01-02.jpg
65-10,Ixodes scapularis,558,496,62,0.1111111111111111,Dermacentor variabilis,40,0.22659471880490023,0.5842772807559621,0.4387755102040816,0.16161616161616163,0.030927835051546393,0.0,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/65-10-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/65-10-2.jpg
179-01,Dermacentor variabilis,577,513,64,0.11091854419410745,Haemaphysalis longicornis,36,0.25611168680944396,0.49618899428049984,0.34,0.21428571428571427,0.07142857142857142,0.02040816326530612,0.0,0.0,Male,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/179-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/179-01-02.jpg
T18714,Haemaphysalis leporispalustris,455,405,50,0.10989010989010989,Haemaphysalis longicornis,32,0.23209824420873154,0.5165981149642908,0.36,0.11702127659574468,0.021739130434782608,0.011235955056179775,0.0,0.0,,Nymph,No,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T18714-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/T18714-02.jpg
27-02,Ixodes scapularis,556,495,61,0.10971223021582734,Dermacentor variabilis,23,0.2100767869171089,0.5779578381143495,0.44,0.13,0.031578947368421054,0.011235955056179775,0.0,0.0,Female,Adult,,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/27-02-1.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/27-02-2.jpg
529-01,Ixodes scapularis,550,490,60,0.10909090909090909,Amblyomma americanum,24,0.23975512606347993,0.46710043512541377,0.36363636363636365,0.1414141414141414,0.08163265306122448,0.021739130434782608,0.0,0.0,,Nymph,"Yes, 24+ hours",/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/529-01-01.jpg,/fs/ess/PAS2136/jjivandas/projects/tick_classification_project/data/raw/idi/529-01-02.jpg
