sample_id,species,sex,life_stage,attached,pathogen,pathogen_result,tick_condition,dim1,dim2
T14740,Amblyomma americanum,Unknown,Larva,No,None,not_tested,Undetermined,28.39812,-18.82424
T15305,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Fed,15.130091,-15.878749
T15306,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Fed,15.71882,-15.716833
T15307,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Fed,19.42325,-15.183304
T15308,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Undetermined,15.167755,-15.447212
T15309,Amblyomma americanum,Unknown,Nymph,No,None,not_tested,Undetermined,19.222933,-15.175959
T17492,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Engorged,24.439796,-2.1139455
T17493,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,23.455946,-2.315901
T17499,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Unfed,21.85981,-2.6103902
T17507,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,23.378899,-1.5759335
T17514,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Engorged,22.258022,-1.5593237
T17515,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Undetermined,24.531185,-2.3128242
T17516,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Fed,21.714466,-20.154491
T17565,Haemaphysalis leporispalustris,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,22.494122,-2.1928275
T18714,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Fed,22.802958,-19.942482
T18716,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Undetermined,22.427172,-20.300526
T19368,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,20.530697,-26.699673
T19369,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,19.130743,-26.42577
T19370,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,19.759336,-26.901087
T19371,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Undetermined,18.36301,-26.038317
T19372,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Undetermined,19.22323,-27.213741
T19373,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,17.954409,-26.621214
T19374,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Undetermined,15.792149,-26.374643
T19375,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,16.878025,-26.095806
T19376,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Engorged,17.746712,-25.862152
T19377,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,19.696125,-26.012781
T19378,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,18.576437,-28.653484
T19379,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,17.86044,-27.29162
T19380,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,17.69731,-25.027258
T19381,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,15.943598,-27.975958
T19382,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,17.437737,-27.796045
T19383,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Engorged,15.754054,-27.14474
T19384,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Engorged,16.327753,-27.865782
T19385,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,17.282768,-26.804123
T19386,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,18.403646,-27.62704
T19387,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,16.387432,-25.163456
T19388,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,17.515379,-28.473755
T19389,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,17.230665,-26.191036
T19390,Haemaphysalis longicornis,Female,Adult,Unknown,None,not_tested,Fed,16.741179,-26.982485
T19428,Haemaphysalis leporispalustris,Male,Adult,"Yes, unknown length of time",None,not_tested,Undetermined,18.844055,-22.31529
T19565,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Fed,18.595669,-4.3099947
T19566,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Fed,20.70761,-5.5600543
T19567,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Fed,17.871164,-2.4203582
T19572,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Fed,21.176378,-18.779844
T19576,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Fed,19.914434,-4.9872994
T19577,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Fed,19.101685,-2.307505
T19578,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Undetermined,19.143644,-2.9570045
T19579,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Undetermined,18.605333,-3.138397
T19580,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Undetermined,19.471947,-4.5733967
T19581,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Undetermined,18.37996,-3.70511
T19582,Haemaphysalis leporispalustris,Unknown,Nymph,"Yes, unknown length of time",None,not_tested,Undetermined,18.619976,-1.1011696
T19730,Dermacentor variabilis,Unknown,Nymph,No,None,not_tested,Undetermined,15.480692,0.15417443
T19731,Dermacentor variabilis,Unknown,Nymph,No,None,not_tested,Undetermined,15.2654085,-0.29344025
T19738,Amblyomma americanum,Male,Adult,No,None,not_tested,Engorged,14.269119,-17.21756
T19739,Amblyomma americanum,Male,Adult,No,None,not_tested,Fed,13.911249,-18.177095
T19740,Amblyomma americanum,Male,Adult,No,None,not_tested,Undetermined,13.485906,-16.610296
T19741,Amblyomma americanum,Female,Adult,No,None,not_tested,Fed,12.432531,-16.587347
T19743,Amblyomma americanum,Female,Adult,No,None,not_tested,Engorged,12.247818,-16.22873
T20209,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Fed,20.957077,-18.56383
T20210,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Fed,22.52293,-19.16184
T20221,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Fed,22.637133,-18.468954
T20222,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Engorged,23.107641,-20.091179
T20310,Amblyomma americanum,Female,Adult,No,None,not_tested,Undetermined,12.499639,-16.256813
T20344,Amblyomma americanum,Male,Adult,No,None,not_tested,Fed,13.996556,-17.793695
T20446,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Fed,23.465656,-18.522696
T21824,Haemaphysalis leporispalustris,Unknown,Nymph,No,None,not_tested,Fed,21.786196,-18.585876
T4777,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,24.63598,2.1179667
T4779,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,25.069576,-0.75170827
T4780,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,25.307568,-0.9908625
T4782,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,24.598717,1.5128925
T4783,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,25.001415,0.029017469
T4784,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,25.399244,0.5662257
T4785,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,23.946186,0.6052205
T4786,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,23.963736,1.1083548
T4789,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,24.270882,-0.8479928
T4793,Amblyomma americanum,Unknown,Larva,"Yes, unknown length of time",None,not_tested,Fed,23.924496,-0.2585951
T6725,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Fed,25.009678,-14.767025
T6726,Haemaphysalis leporispalustris,Unknown,Larva,No,None,not_tested,Fed,24.654295,-16.793865
