sample_id,species,sex,life_stage,attached,pathogen,pathogen_result,tick_condition,dim1,dim2
254-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,8.24325,10.270075
255-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Undetermined,8.298656,13.982902
256-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,8.4643135,14.280436
258-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,8.97986,9.681492
259-01,Ixodes scapularis,Unknown,Nymph,Unknown,None,negative,Undetermined,10.510126,6.197757
260-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,8.046868,14.119961
26-01,Haemaphysalis longicornis,Female,Adult,Unknown,None,negative,Fed,6.949757,7.088627
261-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Fed,9.090631,8.345435
262-01,Dermacentor variabilis,Female,Adult,Unknown,None,negative,Unfed,8.193368,10.42125
264-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Unfed,11.303442,4.2414737
265-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Unfed,8.0845175,14.174344
268-01,Ixodes scapularis,Unknown,Nymph,Unknown,None,negative,Unfed,10.47264,6.231632
270-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Unfed,11.263777,4.2835484
27-01,Ixodes scapularis,Female,Adult,Unknown,None,negative,Unfed,11.492957,0.7861766
27-02,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Unfed,11.224889,0.98012006
273-01,Ixodes scapularis,Unknown,Nymph,Unknown,None,negative,Unfed,10.179937,6.2158055
274-01,Ixodes scapularis,Unknown,Nymph,Unknown,Borrelia burgdorferii s.s.,Positive,Undetermined,10.476227,6.2683964
276-01,Amblyomma americanum,Male,Adult,Unknown,None,negative,Fed,6.8625574,9.100228
277-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Fed,8.923302,14.19337
279-01,Dermacentor variabilis,Male,Adult,Unknown,None,negative,Undetermined,7.9676156,14.623699
28-01,Ixodes scapularis,Female,Adult,Unknown,Borrelia burgdorferi s.l.,Positive,Fed,11.220412,0.7597321
